sample_id,true_action,base_prediction,mobilenet_prediction,resnet18_prediction,base_confidence,mobilenet_confidence,resnet18_confidence,mobilenet_outcome,resnet18_outcome,mobilenet_true_rank,resnet18_true_rank,mobilenet_selected_view_weights,resnet18_selected_view_weights,view_valid_count,hand_head_roi_valid,two_hand_roi_valid
train__c00__user23__1-1-1,Wash_face,Wash_face,Wash_face,Wash_face,0.9507269674996086,0.9585182764086226,0.9520244289521929,retained_correct,retained_correct,1,1,"{""global_context"": 0.7598027074059774, ""left_interaction"": 0.012832988140194915, ""right_interaction"": 0.033610122148380724, ""hand_head_union"": 0.0, ""two_hand_table_context"": 0.19375421834546466}","{""global_context"": 0.999557051547738, ""left_interaction"": 0.00040529352114644163, ""right_interaction"": 2.9367202524702217e-05, ""hand_head_union"": 0.0, ""two_hand_table_context"": 8.2385424405423e-06}",172,False,True
train__c00__user23__1-1-2,Wash_face,Wash_face,Wash_face,Wash_face,0.8656943447087642,0.8686956425963009,0.8665908535480393,retained_correct,retained_correct,1,1,"{""global_context"": 0.883742984972502, ""left_interaction"": 0.0007148904137705502, ""right_interaction"": 0.009877936620461313, ""hand_head_union"": 0.0, ""two_hand_table_context"": 0.10566430342824835}","{""global_context"": 0.9993586289255243, ""left_interaction"": 0.0004388480202147835, ""right_interaction"": 0.000200076690433841, ""hand_head_union"": 0.0, ""two_hand_table_context"": 2.4576850256907117e-06}",75,False,True
train__c00__user23__1-1-3,Wash_face,Wash_face,Wash_face,Wash_face,0.8689241588032955,0.8700220724529122,0.8702584602779275,retained_correct,retained_correct,1,1,"{""global_context"": 0.9705565770467123, ""left_interaction"": 0.0019275479846530491, ""right_interaction"": 0.010544300907187991, ""hand_head_union"": 0.0, ""two_hand_table_context"": 0.016971594757503934}","{""global_context"": 0.9997283087836372, ""left_interaction"": 0.00021791429672804143, ""right_interaction"": 5.3280809273322426e-05, ""hand_head_union"": 0.0, ""two_hand_table_context"": 4.216267876068337e-07}",72,False,True
train__c00__user24__6-2-1,Wash_face,Wash_face,Wash_face,Wash_face,0.8046191292567139,0.8211572771454133,0.8113997437415316,retained_correct,retained_correct,1,1,"{""global_context"": 0.9998688834054129, ""left_interaction"": 4.871792293020657e-05, ""right_interaction"": 5.1812897436320784e-05, ""hand_head_union"": 0.0, ""two_hand_table_context"": 3.0674020360623084e-05}","{""global_context"": 0.9999448503766741, ""left_interaction"": 5.3789227136543816e-05, ""right_interaction"": 8.020257415150159e-07, ""hand_head_union"": 0.0, ""two_hand_table_context"": 5.722850411465125e-07}",132,False,True
train__c00__user24__6-2-2,Wash_face,Wash_face,Wash_face,Wash_face,0.848068672204762,0.8590478084950586,0.8514719256907949,retained_correct,retained_correct,1,1,"{""global_context"": 0.9786129731398362, ""left_interaction"": 0.005432807482205904, ""right_interaction"": 0.013291562979037944, ""hand_head_union"": 0.0, ""two_hand_table_context"": 0.0026628019718023446}","{""global_context"": 0.9999923706054688, ""left_interaction"": 7.0310220158157444e-06, ""right_interaction"": 5.544914599270739e-07, ""hand_head_union"": 0.0, ""two_hand_table_context"": 2.0582202663577985e-07}",96,False,True
train__c00__user24__6-2-3,Wash_face,Wash_face,Wash_face,Wash_face,0.8158219504184903,0.8184902179012514,0.817997236415107,retained_correct,retained_correct,1,1,"{""global_context"": 0.9951491636388442, ""left_interaction"": 0.00014254428884562324, ""right_interaction"": 0.0012203728889717774, ""hand_head_union"": 0.0, ""two_hand_table_context"": 0.0034879055969855364}","{""global_context"": 0.9999991024241728, ""left_interaction"": 6.90381378209328e-07, ""right_interaction"": 2.442034469020334e-07, ""hand_head_union"": 0.0, ""two_hand_table_context"": 9.543274406014996e-09}",64,False,True
train__c00__user24__7-1-1,Wash_face,Wash_face,Wash_face,Wash_face,0.8641504838626002,0.8815198471962569,0.8671931823346436,retained_correct,retained_correct,1,1,"{""global_context"": 0.8986265120967742, ""left_interaction"": 0.003403887633354433, ""right_interaction"": 0.09313085002283897, ""hand_head_union"": 0.0, ""two_hand_table_context"": 0.004838710831057641}","{""global_context"": 0.9999902171473349, ""left_interaction"": 9.183147584178275e-06, ""right_interaction"": 2.079096086691284e-07, ""hand_head_union"": 0.0, ""two_hand_table_context"": 4.374206553386044e-07}",115,False,True
train__c00__user24__7-1-2,Wash_face,Wash_face,Wash_face,Wash_face,0.6296089334683564,0.6346159717481015,0.631569764223812,retained_correct,retained_correct,1,1,"{""global_context"": 0.8921353022257487, ""left_interaction"": 0.030215644836425783, ""right_interaction"": 0.07728517850240071, ""hand_head_union"": 0.0, ""two_hand_table_context"": 0.0003638868841032187}","{""global_context"": 0.9999471664428711, ""left_interaction"": 5.1665034455557664e-05, ""right_interaction"": 8.959373493174401e-07, ""hand_head_union"": 0.0, ""two_hand_table_context"": 2.8490158001659436e-07}",57,False,True
train__c00__user24__7-1-3,Wash_face,Wash_face,Wash_face,Wash_face,0.8258053278808936,0.8306403564285632,0.8269878901909541,retained_correct,retained_correct,1,1,"{""global_context"": 0.8389670962379092, ""left_interaction"": 0.0031400596102078757, ""right_interaction"": 0.14276481810070218, ""hand_head_union"": 0.0, ""two_hand_table_context"": 0.01512799376533145}","{""global_context"": 0.9999139876592726, ""left_interaction"": 8.398303318591345e-05, ""right_interaction"": 6.260121327137486e-07, ""hand_head_union"": 0.0, ""two_hand_table_context"": 1.4710416767879257e-06}",80,False,True
train__c00__user4__1-1-1,Wash_face,Wash_face,Wash_face,Wash_face,0.9558157513099951,0.9614929212657902,0.9571050113851809,retained_correct,retained_correct,1,1,"{""global_context"": 0.8452608925955636, ""left_interaction"": 0.0036013626626559664, ""right_interaction"": 0.05981396493457612, ""hand_head_union"": 0.0, ""two_hand_table_context"": 0.09132380144936698}","{""global_context"": 0.8906669616699219, ""left_interaction"": 0.1070268948872884, ""right_interaction"": 0.0006309384036631812, ""hand_head_union"": 0.0, ""two_hand_table_context"": 0.0016752823832489195}",168,False,True
