sample_id,user_id,fold,label,c0_prediction,c1_prediction,c0_correct,c1_correct,outcome
train__c00__user16__1-1-1,user16,1,0,0,0,True,True,both_correct
train__c00__user16__1-1-2,user16,1,0,0,0,True,True,both_correct
train__c00__user16__1-1-3,user16,1,0,0,0,True,True,both_correct
train__c00__user18__7-1-1,user18,0,0,0,0,True,True,both_correct
train__c00__user18__7-1-2,user18,0,0,0,0,True,True,both_correct
train__c00__user18__7-1-3,user18,0,0,0,0,True,True,both_correct
train__c00__user20__4-2-1,user20,0,0,0,0,True,True,both_correct
train__c00__user20__4-2-2,user20,0,0,0,0,True,True,both_correct
train__c00__user20__4-2-3,user20,0,0,0,0,True,True,both_correct
train__c00__user21__1-1-1,user21,0,0,6,6,False,False,both_wrong
train__c00__user21__1-1-2,user21,0,0,6,6,False,False,both_wrong
train__c00__user21__1-1-3,user21,0,0,6,6,False,False,both_wrong
train__c00__user21__4-2-1,user21,0,0,6,6,False,False,both_wrong
train__c00__user21__4-2-2,user21,0,0,6,6,False,False,both_wrong
train__c00__user21__4-2-3,user21,0,0,6,6,False,False,both_wrong
train__c00__user22__1-1-2,user22,2,0,0,0,True,True,both_correct
train__c00__user22__1-1-3,user22,2,0,0,0,True,True,both_correct
train__c00__user22__2-2-1,user22,2,0,0,0,True,True,both_correct
train__c00__user22__2-2-2,user22,2,0,0,0,True,True,both_correct
train__c00__user22__2-2-3,user22,2,0,0,0,True,True,both_correct
train__c00__user5__1-1-1,user5,2,0,0,0,True,True,both_correct
train__c00__user5__1-1-2,user5,2,0,0,0,True,True,both_correct
train__c00__user5__1-1-3,user5,2,0,0,0,True,True,both_correct
train__c00__user6__1-1-1,user6,2,0,0,0,True,True,both_correct
train__c00__user6__1-1-2,user6,2,0,0,0,True,True,both_correct
train__c00__user6__1-1-3,user6,2,0,0,0,True,True,both_correct
train__c00__user8__1-1-1,user8,1,0,9,4,False,False,both_wrong
train__c00__user8__1-1-2,user8,1,0,9,4,False,False,both_wrong
train__c00__user8__1-1-3,user8,1,0,9,4,False,False,both_wrong
train__c00__user8__7-1-1,user8,1,0,9,4,False,False,both_wrong
train__c00__user8__7-1-2,user8,1,0,9,24,False,False,both_wrong
train__c00__user8__7-1-3,user8,1,0,9,8,False,False,both_wrong
train__c01__user16__1-1-1,user16,1,1,9,1,False,True,c1_only
train__c01__user16__1-1-2,user16,1,1,9,1,False,True,c1_only
train__c01__user16__1-1-3,user16,1,1,9,1,False,True,c1_only
train__c01__user18__1-1-1,user18,0,1,7,7,False,False,both_wrong
train__c01__user18__1-1-2,user18,0,1,7,7,False,False,both_wrong
train__c01__user18__1-1-3,user18,0,1,7,7,False,False,both_wrong
train__c01__user18__7-1-1,user18,0,1,7,7,False,False,both_wrong
train__c01__user18__7-1-2,user18,0,1,7,7,False,False,both_wrong
train__c01__user18__7-1-3,user18,0,1,6,7,False,False,both_wrong
train__c01__user19__1-1-1,user19,2,1,2,2,False,False,both_wrong
train__c01__user19__1-1-2,user19,2,1,7,1,False,True,c1_only
train__c01__user19__1-1-3,user19,2,1,1,1,True,True,both_correct
train__c01__user20__4-2-1,user20,0,1,7,7,False,False,both_wrong
train__c01__user20__4-2-2,user20,0,1,6,6,False,False,both_wrong
train__c01__user20__4-2-3,user20,0,1,6,6,False,False,both_wrong
train__c01__user21__4-2-1,user21,0,1,8,8,False,False,both_wrong
train__c01__user21__4-2-2,user21,0,1,5,5,False,False,both_wrong
train__c01__user21__4-2-3,user21,0,1,7,7,False,False,both_wrong
train__c01__user22__1-1-2,user22,2,1,0,0,False,False,both_wrong
train__c01__user22__1-1-3,user22,2,1,0,0,False,False,both_wrong
train__c01__user22__2-2-1,user22,2,1,0,0,False,False,both_wrong
train__c01__user22__2-2-2,user22,2,1,0,0,False,False,both_wrong
train__c01__user22__2-2-3,user22,2,1,0,0,False,False,both_wrong
train__c01__user6__1-1-1,user6,2,1,8,8,False,False,both_wrong
train__c01__user6__1-1-2,user6,2,1,8,8,False,False,both_wrong
train__c01__user6__1-1-3,user6,2,1,36,0,False,False,both_wrong
train__c01__user7__1-1-1,user7,2,1,0,0,False,False,both_wrong
train__c01__user7__1-1-2,user7,2,1,0,0,False,False,both_wrong
train__c01__user7__1-1-3,user7,2,1,0,0,False,False,both_wrong
train__c01__user8__1-1-1,user8,1,1,9,7,False,False,both_wrong
train__c01__user8__1-1-2,user8,1,1,9,1,False,True,c1_only
train__c01__user8__1-1-3,user8,1,1,6,6,False,False,both_wrong
train__c01__user8__7-1-1,user8,1,1,10,10,False,False,both_wrong
