sample_id,user_id,fold,label,c1_prediction,d2_prediction,c1_correct,d2_correct,outcome
train__c00__user16__1-1-1,user16,1,0,0,0,True,True,both_correct
train__c00__user16__1-1-2,user16,1,0,0,0,True,True,both_correct
train__c00__user16__1-1-3,user16,1,0,0,0,True,True,both_correct
train__c00__user18__7-1-1,user18,0,0,0,1,True,False,c1_only
train__c00__user18__7-1-2,user18,0,0,0,1,True,False,c1_only
train__c00__user18__7-1-3,user18,0,0,0,1,True,False,c1_only
train__c00__user20__4-2-1,user20,0,0,0,0,True,True,both_correct
train__c00__user20__4-2-2,user20,0,0,0,0,True,True,both_correct
train__c00__user20__4-2-3,user20,0,0,0,0,True,True,both_correct
train__c00__user21__1-1-1,user21,0,0,6,2,False,False,both_wrong
train__c00__user21__1-1-2,user21,0,0,6,2,False,False,both_wrong
train__c00__user21__1-1-3,user21,0,0,6,2,False,False,both_wrong
train__c00__user21__4-2-1,user21,0,0,6,6,False,False,both_wrong
train__c00__user21__4-2-2,user21,0,0,6,2,False,False,both_wrong
train__c00__user21__4-2-3,user21,0,0,6,2,False,False,both_wrong
train__c00__user22__1-1-2,user22,2,0,0,0,True,True,both_correct
train__c00__user22__1-1-3,user22,2,0,0,0,True,True,both_correct
train__c00__user22__2-2-1,user22,2,0,0,0,True,True,both_correct
train__c00__user22__2-2-2,user22,2,0,0,0,True,True,both_correct
train__c00__user22__2-2-3,user22,2,0,0,0,True,True,both_correct
train__c00__user5__1-1-1,user5,2,0,0,8,True,False,c1_only
train__c00__user5__1-1-2,user5,2,0,0,0,True,True,both_correct
train__c00__user5__1-1-3,user5,2,0,0,8,True,False,c1_only
train__c00__user6__1-1-1,user6,2,0,0,0,True,True,both_correct
train__c00__user6__1-1-2,user6,2,0,0,0,True,True,both_correct
train__c00__user6__1-1-3,user6,2,0,0,0,True,True,both_correct
train__c00__user8__1-1-1,user8,1,0,4,9,False,False,both_wrong
train__c00__user8__1-1-2,user8,1,0,4,9,False,False,both_wrong
train__c00__user8__1-1-3,user8,1,0,4,9,False,False,both_wrong
train__c00__user8__7-1-1,user8,1,0,4,9,False,False,both_wrong
train__c00__user8__7-1-2,user8,1,0,24,10,False,False,both_wrong
train__c00__user8__7-1-3,user8,1,0,8,8,False,False,both_wrong
train__c01__user16__1-1-1,user16,1,1,1,1,True,True,both_correct
train__c01__user16__1-1-2,user16,1,1,1,1,True,True,both_correct
train__c01__user16__1-1-3,user16,1,1,1,1,True,True,both_correct
train__c01__user18__1-1-1,user18,0,1,7,1,False,True,d2_only
train__c01__user18__1-1-2,user18,0,1,7,1,False,True,d2_only
train__c01__user18__1-1-3,user18,0,1,7,1,False,True,d2_only
train__c01__user18__7-1-1,user18,0,1,7,7,False,False,both_wrong
train__c01__user18__7-1-2,user18,0,1,7,10,False,False,both_wrong
train__c01__user18__7-1-3,user18,0,1,7,2,False,False,both_wrong
train__c01__user19__1-1-1,user19,2,1,2,31,False,False,both_wrong
train__c01__user19__1-1-2,user19,2,1,1,6,True,False,c1_only
train__c01__user19__1-1-3,user19,2,1,1,6,True,False,c1_only
train__c01__user20__4-2-1,user20,0,1,7,1,False,True,d2_only
train__c01__user20__4-2-2,user20,0,1,6,2,False,False,both_wrong
train__c01__user20__4-2-3,user20,0,1,6,2,False,False,both_wrong
train__c01__user21__4-2-1,user21,0,1,8,39,False,False,both_wrong
train__c01__user21__4-2-2,user21,0,1,5,1,False,True,d2_only
train__c01__user21__4-2-3,user21,0,1,7,1,False,True,d2_only
train__c01__user22__1-1-2,user22,2,1,0,0,False,False,both_wrong
train__c01__user22__1-1-3,user22,2,1,0,0,False,False,both_wrong
train__c01__user22__2-2-1,user22,2,1,0,0,False,False,both_wrong
train__c01__user22__2-2-2,user22,2,1,0,0,False,False,both_wrong
train__c01__user22__2-2-3,user22,2,1,0,0,False,False,both_wrong
train__c01__user6__1-1-1,user6,2,1,8,9,False,False,both_wrong
train__c01__user6__1-1-2,user6,2,1,8,9,False,False,both_wrong
train__c01__user6__1-1-3,user6,2,1,0,8,False,False,both_wrong
train__c01__user7__1-1-1,user7,2,1,0,0,False,False,both_wrong
train__c01__user7__1-1-2,user7,2,1,0,0,False,False,both_wrong
train__c01__user7__1-1-3,user7,2,1,0,0,False,False,both_wrong
train__c01__user8__1-1-1,user8,1,1,7,7,False,False,both_wrong
train__c01__user8__1-1-2,user8,1,1,1,1,True,True,both_correct
train__c01__user8__1-1-3,user8,1,1,6,7,False,False,both_wrong
train__c01__user8__7-1-1,user8,1,1,10,10,False,False,both_wrong
