sample_id,user_id,fold,label,c1_prediction,t2_prediction,c1_correct,t2_correct,retained_length,length_bucket,outcome
train__c00__user16__1-1-1,user16,1,0,0,0,True,True,47,32-63,both_correct
train__c00__user16__1-1-2,user16,1,0,0,0,True,True,55,32-63,both_correct
train__c00__user16__1-1-3,user16,1,0,0,0,True,True,22,16-31,both_correct
train__c00__user18__7-1-1,user18,0,0,0,1,True,False,20,16-31,c1_only
train__c00__user18__7-1-2,user18,0,0,0,0,True,True,13,<=15,both_correct
train__c00__user18__7-1-3,user18,0,0,0,0,True,True,3,<=15,both_correct
train__c00__user20__4-2-1,user20,0,0,0,0,True,True,42,32-63,both_correct
train__c00__user20__4-2-2,user20,0,0,0,0,True,True,23,16-31,both_correct
train__c00__user20__4-2-3,user20,0,0,0,0,True,True,34,32-63,both_correct
train__c00__user21__1-1-1,user21,0,0,6,6,False,False,14,<=15,both_wrong
train__c00__user21__1-1-2,user21,0,0,6,6,False,False,10,<=15,both_wrong
train__c00__user21__1-1-3,user21,0,0,6,6,False,False,5,<=15,both_wrong
train__c00__user21__4-2-1,user21,0,0,6,6,False,False,7,<=15,both_wrong
train__c00__user21__4-2-2,user21,0,0,6,6,False,False,6,<=15,both_wrong
train__c00__user21__4-2-3,user21,0,0,6,6,False,False,9,<=15,both_wrong
train__c00__user22__1-1-2,user22,2,0,0,0,True,True,25,16-31,both_correct
train__c00__user22__1-1-3,user22,2,0,0,0,True,True,8,<=15,both_correct
train__c00__user22__2-2-1,user22,2,0,0,0,True,True,17,16-31,both_correct
train__c00__user22__2-2-2,user22,2,0,0,0,True,True,13,<=15,both_correct
train__c00__user22__2-2-3,user22,2,0,0,0,True,True,4,<=15,both_correct
train__c00__user5__1-1-1,user5,2,0,0,0,True,True,40,32-63,both_correct
train__c00__user5__1-1-2,user5,2,0,0,0,True,True,38,32-63,both_correct
train__c00__user5__1-1-3,user5,2,0,0,0,True,True,30,16-31,both_correct
train__c00__user6__1-1-1,user6,2,0,0,0,True,True,47,32-63,both_correct
train__c00__user6__1-1-2,user6,2,0,0,0,True,True,45,32-63,both_correct
train__c00__user6__1-1-3,user6,2,0,0,0,True,True,33,32-63,both_correct
train__c00__user8__1-1-1,user8,1,0,4,4,False,False,15,<=15,both_wrong
train__c00__user8__1-1-2,user8,1,0,4,9,False,False,11,<=15,both_wrong
train__c00__user8__1-1-3,user8,1,0,4,9,False,False,11,<=15,both_wrong
train__c00__user8__7-1-1,user8,1,0,4,4,False,False,10,<=15,both_wrong
train__c00__user8__7-1-2,user8,1,0,24,24,False,False,10,<=15,both_wrong
train__c00__user8__7-1-3,user8,1,0,8,9,False,False,5,<=15,both_wrong
