sample_id,user_id,class_id,action_name,prediction_b2,prediction_supcon,correct_b2,correct_supcon,rescued,harmed
train__c00__user4__1-1-1,user4,0,Wash_face,0,5,True,False,False,True
train__c00__user4__1-1-2,user4,0,Wash_face,0,5,True,False,False,True
train__c00__user4__1-1-3,user4,0,Wash_face,0,5,True,False,False,True
train__c00__user23__1-1-1,user23,0,Wash_face,0,0,True,True,False,False
train__c00__user23__1-1-2,user23,0,Wash_face,4,5,False,False,False,False
train__c00__user23__1-1-3,user23,0,Wash_face,0,1,True,False,False,True
train__c00__user24__6-2-1,user24,0,Wash_face,0,0,True,True,False,False
train__c00__user24__6-2-2,user24,0,Wash_face,0,0,True,True,False,False
train__c00__user24__6-2-3,user24,0,Wash_face,0,1,True,False,False,True
train__c00__user24__7-1-1,user24,0,Wash_face,0,0,True,True,False,False
train__c00__user24__7-1-2,user24,0,Wash_face,0,1,True,False,False,True
train__c00__user24__7-1-3,user24,0,Wash_face,0,3,True,False,False,True
train__c01__user17__1-1-1,user17,1,Brush_teeth,1,1,True,True,False,False
train__c01__user17__1-1-2,user17,1,Brush_teeth,2,2,False,False,False,False
train__c01__user17__1-1-3,user17,1,Brush_teeth,2,2,False,False,False,False
train__c01__user23__1-1-1,user23,1,Brush_teeth,2,5,False,False,False,False
train__c01__user23__1-1-2,user23,1,Brush_teeth,2,3,False,False,False,False
train__c01__user23__1-1-3,user23,1,Brush_teeth,2,3,False,False,False,False
train__c01__user24__6-2-1,user24,1,Brush_teeth,1,0,True,False,False,True
train__c01__user24__6-2-2,user24,1,Brush_teeth,1,4,True,False,False,True
train__c01__user24__6-2-3,user24,1,Brush_teeth,1,1,True,True,False,False
train__c01__user24__7-1-1,user24,1,Brush_teeth,1,38,True,False,False,True
train__c01__user24__7-1-2,user24,1,Brush_teeth,1,4,True,False,False,True
train__c01__user24__7-1-3,user24,1,Brush_teeth,1,4,True,False,False,True
train__c02__user17__1-1-1,user17,2,Comb_hair,5,5,False,False,False,False
train__c02__user17__1-1-2,user17,2,Comb_hair,1,2,False,True,True,False
train__c02__user17__1-1-3,user17,2,Comb_hair,2,2,True,True,False,False
train__c02__user23__2-2-1,user23,2,Comb_hair,5,5,False,False,False,False
train__c02__user23__2-2-2,user23,2,Comb_hair,2,39,True,False,False,True
train__c02__user23__2-2-3,user23,2,Comb_hair,5,5,False,False,False,False
train__c02__user24__7-1-1,user24,2,Comb_hair,4,38,False,False,False,False
train__c02__user24__7-1-2,user24,2,Comb_hair,1,2,False,True,True,False
train__c02__user24__7-1-3,user24,2,Comb_hair,1,4,False,False,False,False
train__c03__user4__5-2-2,user4,3,Take_off_clothes,36,36,False,False,False,False
train__c03__user4__5-2-3,user4,3,Take_off_clothes,36,36,False,False,False,False
train__c03__user17__6-1-1,user17,3,Take_off_clothes,3,3,True,True,False,False
train__c03__user17__6-1-2,user17,3,Take_off_clothes,31,28,False,False,False,False
train__c03__user17__6-1-3,user17,3,Take_off_clothes,31,5,False,False,False,False
train__c03__user23__4-3-1,user23,3,Take_off_clothes,3,23,True,False,False,True
train__c03__user23__4-3-2,user23,3,Take_off_clothes,3,23,True,False,False,True
train__c03__user23__4-3-3,user23,3,Take_off_clothes,5,23,False,False,False,False
train__c03__user23__5-2-1,user23,3,Take_off_clothes,3,3,True,True,False,False
train__c03__user23__5-2-2,user23,3,Take_off_clothes,3,3,True,True,False,False
train__c03__user23__5-2-3,user23,3,Take_off_clothes,3,3,True,True,False,False
train__c04__user4__1-1-1,user4,4,Wipe_hands,38,2,False,False,False,False
